Reference,Quantity,Value,Footprint,Manufacturer,MPN,
C1 C2 C3,3,C_100n_0402_16V,0402-cap,MULTICOMP,MC0402B104K160CT,
J1,1,685119134923,HDMI_A_Female_685119134923,Amphenol,685119134923,
J2,1,2x20_Header_Female,PinHeader_2x40_P2.54_Drill1mm,MULTICOMP,2214S-40SG-85 ,
R15 R16,2,R_10k_0402,0402-res,VISHAY,CRCW040210K0FKEDHP,
R17 R18 R19 R20,4,R_100R_0402,0402-res,BOURNS,CR0402-FX-1000GLF,
R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14,13,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,
U1,1,TPD12S016PWR,TPD12S016PWR,Texas Instruments,TPD8S009DSMR,
